,NameOfSubstance,hsdb_log_kow,Crippen_MolLogP,Crippen_MolMR,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,ExactMolWt,FractionCSP3,allKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,N_AliphCarbC,N_AliphHetC,N_AliphRing,N_AmideBonds,N_AromCarbC,N_AromHetC,N_AromRing,N_AtomStereoCenters,N_BridgeheadAtoms,N_HBA,N_HBD,N_Heteroatoms,N_Heterocycles,N_LipinskiHBA,N_LipinskiHBD,N_Rings,N_RotatableBonds,N_CarbC,N_SatHetC,N_SatRing,N_SpiroAt,N_UnsAtSterCent
544,PROPACHLOR,2.18,2.666800000000001,59.78400000000004,8.404634755297351,9.160563701315805,4.595735403886961,5.130257887711808,3.3266686604224516,3.593929902334876,1.9337701346255403,2.1624019406769754,1.383097552063955,1.5118655384649102,211.076391748,0.36363636363636365,-1.02,11.057041602465333,5.009404787174269,2.484576967850811,89.48073568860885,0,0,0,1,1,0,1,0,0,1,0,3,0,2,0,1,3,0,0,0,0,0
545,MALIC ACID,-1.26,-1.0934000000000001,25.895399999999995,4.4425944178037735,4.4425944178037735,2.1641375913629317,2.1641375913629317,1.4518981323847187,1.4518981323847187,0.6530296726236512,0.6530296726236512,0.25271305492224383,0.25271305492224383,134.021523292,0.5,-1.1,7.8999999999999995,3.032306526953668,3.479710144927536,50.539822827694934,0,0,0,0,0,0,0,1,0,3,3,5,0,5,3,0,3,0,0,0,0,1
546,(L)-PROLINE,-2.54,-0.177,28.660499999999992,4.55413249871309,4.55413249871309,2.766882893228673,2.766882893228673,1.987176196170154,1.987176196170154,1.35840889612069,1.35840889612069,0.8953267200055975,0.8953267200055975,115.063328528,0.8,-0.5700000000000001,5.564589502018842,2.1320002271579725,0.9795771931582414,47.69880636773457,0,1,1,0,0,0,0,1,0,2,2,3,1,3,2,1,1,0,1,1,0,0
547,PROPIONIC ANHYDRIDE,0.4,0.8762,31.680999999999983,5.638958433764684,5.638958433764684,2.9378169244873686,2.9378169244873686,1.553185789658806,1.553185789658806,0.8050211698203655,0.8050211698203655,0.27130451414026263,0.27130451414026263,130.06299418,0.6666666666666666,-0.8600000000000001,8.140000000000002,4.062432372063822,3.7002240896358556,54.000551029406985,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,2,0,0,0,0,0
548,PROPANIL,3.07,3.3419000000000016,55.38270000000002,7.103334825237742,8.615192717274653,3.8807826617335652,4.63671160775202,2.5306176890309215,3.345017942512134,1.5244722749029136,2.26350155364093,0.8232612604539113,1.1213524420765209,217.006119268,0.2222222222222222,-0.7300000000000001,10.351499592502035,4.490448266782616,2.9013912009512484,86.84414620010195,0,0,0,1,1,0,1,0,0,1,1,4,0,2,1,1,2,0,0,0,0,0
549,NICOTINAMIDE,-0.37,0.18050000000000016,32.7549,4.7422132319119505,4.7422132319119505,2.5032139951773598,2.5032139951773598,1.6059511696427042,1.6059511696427042,0.9460547340291837,0.9460547340291837,0.5085121970419809,0.5085121970419809,122.048012812,0.0,-1.38,5.751233595800525,2.2593342006647616,1.2528322001978998,52.51740601189656,0,0,0,1,0,1,1,0,0,2,1,3,1,3,2,1,1,0,0,0,0,0
550,OLEIC ACID,7.64,6.1085000000000065,87.08780000000007,13.409657360954743,13.409657360954743,8.63822102902279,8.63822102902279,5.728027239136747,5.728027239136747,3.652443847844729,3.652443847844729,2.3469655523185775,2.3469655523185775,282.255880328,0.8333333333333334,-0.79,19.210000000000004,16.264914881933006,17.21,125.20941979262746,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,15,0,0,0,0,0
551,OCTYL DECYL PHTHALATE,9.52,7.501400000000008,122.9930000000001,19.256102737598717,19.256102737598717,12.135410681680073,12.135410681680073,8.060062851291201,8.060062851291201,5.328986598940965,5.328986598940965,3.4426883431747046,3.4426883431747046,418.30830982399993,0.6923076923076923,-1.8399999999999999,26.195511363636363,17.97103809311651,11.992441332451182,183.2803800665305,0,0,0,0,1,0,1,0,0,4,0,4,0,4,0,1,18,0,0,0,0,0
552,MYRCENE,4.33,3.4750000000000023,48.00200000000003,6.983127663125442,6.983127663125442,3.6009536313038994,3.6009536313038994,2.6825219847121646,2.6825219847121646,1.3067128222475324,1.3067128222475324,0.648301396808781,0.648301396808781,136.125200512,0.4,-0.78,9.22,5.040624785315335,5.358504155124655,63.954920960846245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
553,SODIUM LAURYL SULFATE,1.6,0.38809999999999967,67.49320000000006,11.81941604537134,14.635912626299069,6.662448582448028,7.99578191578136,4.412204081233013,5.464402922556257,2.7255618585214205,3.1809036597828997,1.750486577407268,2.072461852836957,288.13712456,1.0,0.8700000000000001,21.17341159724508,14.282719836642029,19.215292467468565,134.11819902450975,0,0,0,0,0,0,0,0,0,4,0,6,0,4,0,0,12,0,0,0,0,0
554,BIS(4-AMINOPHENYL) ETHER,1.36,2.643300000000001,61.782800000000016,8.181750982360123,8.181750982360123,4.628332969745327,4.628332969745327,3.240133260073663,3.240133260073663,1.9959016590840102,1.9959016590840102,1.2078207818757116,1.2078207818757116,200.094963004,0.0,-2.1599999999999997,9.3971519262254,3.9196606578585556,2.4034585195024754,88.28182394909331,0,0,0,0,2,0,2,0,0,3,2,3,0,3,4,2,2,0,0,0,0,0
555,THIOACETAMIDE,-0.26,0.2924,22.4594,2.485598559653489,3.3020951405812147,0.9927992798267444,1.4010475702906073,0.6106504100245024,1.254600960883881,0.0,0.0,0.0,0.0,75.01427016,0.5,-0.11000000000000001,3.8900000000000006,1.2360207612456748,123.72471074380168,30.80286408644375,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,0,0
556,"3,4-DICHLOROANILINE",2.69,2.5756000000000006,40.87440000000001,4.5653300227769575,6.077187914813867,2.4046734793166253,3.16060242533508,1.6735461619661591,2.487946415447371,0.9436573222713966,1.682686601009413,0.5123821503457836,0.8189129382442667,160.97990452,0.0,-0.4000000000000001,6.716279069767443,2.4602853745541022,1.5012345679012344,63.377826270273026,0,0,0,0,1,0,1,0,0,1,1,3,0,1,2,1,0,0,0,0,0,0
557,ANTHRANILIC ACID,1.21,0.9670000000000001,37.81370000000001,5.2422132319119505,5.2422132319119505,2.79375634676635,2.79375634676635,1.89240301305786,1.89240301305786,1.1911985029511443,1.1911985029511443,0.6917722459608008,0.6917722459608008,137.047678464,0.0,-1.51,6.607785630153122,2.389632707443791,1.0748936229840518,58.09199178314606,0,0,0,0,1,0,1,0,0,2,2,3,0,3,3,1,1,0,0,0,0,0
558,1-CHLORO-2-NITROBENZENE,2.52,2.2482000000000006,38.106400000000015,4.951075726195414,5.707004672213869,2.6050876751143295,2.983052148123557,1.7085213395918186,2.1157214663324244,1.0491491349145388,1.3687616631751292,0.5997948041288869,0.8045347356433243,156.993056048,0.0,-1.0899999999999999,7.022233445566778,2.6626191750189108,1.2473799215558994,62.387645068878435,0,0,0,0,1,0,1,0,0,2,0,4,0,3,0,1,1,0,0,0,0,0
559,1-CHLORO-3-NITROBENZENE,2.41,2.2482000000000006,38.106400000000015,4.951075726195414,5.707004672213869,2.599104610970622,2.9770690839798495,1.736980888762151,2.1734166692341357,1.019019229884962,1.2541163326727007,0.5896890279854824,0.7742174072131112,156.993056048,0.0,-1.0899999999999999,7.022233445566778,2.6626191750189108,1.4481065722834785,62.387645068878435,0,0,0,0,1,0,1,0,0,2,0,4,0,3,0,1,1,0,0,0,0,0
560,2-BIPHENYLAMINE,2.84,2.9358000000000013,56.29040000000002,7.27350269189626,7.27350269189626,4.276709006307399,4.276709006307399,2.953275852433816,2.953275852433816,2.0455837819827103,2.0455837819827103,1.3776114102106962,1.3776114102106962,169.089149352,0.0,-1.7599999999999998,7.866895638429664,3.3149108204518427,1.5411515777004618,77.82838802257372,0,0,0,0,2,0,2,0,0,1,1,1,0,1,2,2,1,0,0,0,0,0
561,4-BIPHENYLAMINE,2.86,2.9358000000000013,56.29040000000002,7.27350269189626,7.27350269189626,4.270725942163692,4.270725942163692,2.9880338717125863,2.9880338717125863,2.0178060042049326,2.0178060042049326,1.3061726110516827,1.3061726110516827,169.089149352,0.0,-1.7599999999999998,7.866895638429664,3.3149108204518427,1.6972013310628191,77.82838802257372,0,0,0,0,2,0,2,0,0,1,1,1,0,1,2,2,1,0,0,0,0,0
562,Tetrafluoromethane,1.18,1.4756999999999998,7.163,2.011857892036909,2.011857892036909,0.7559289460184544,0.7559289460184544,0.42857142857142844,0.42857142857142844,0.0,0.0,0.0,0.0,87.99361288,1.0,-0.28,4.72,0.8411795197809182,140.37306122448973,25.401392639534482,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
563,2-DIMETHYLAMINOETHANOL,-0.55,-0.45970000000000016,25.63979999999999,4.308640753373011,4.308640753373011,2.0268827230335917,2.0268827230335917,1.5268827230335915,1.5268827230335915,0.5472135954999577,0.5472135954999577,0.19999999999999993,0.19999999999999993,89.084063972,1.0,-0.08,5.92,3.1232520325203255,3.9200000000000004,38.38814479341875,0,0,0,0,0,0,0,0,0,2,1,2,0,2,1,0,2,0,0,0,0,0
